"Source:","C:\Users\Toohka\Documents\.DEV\SSTCGV\SSTCGV.kicad_sch"
"Date:","25.02.2022 11:00:10"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","46"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","R4","47k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~","","","","","","","",""
"","","R5","100","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~","","","","","","","",""
"","","R6","200","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~","","","","","","","",""
"","","R8","2,7k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~","","","","","","","",""
"","","R9","10k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~","","","","","","","",""
"","","RO1","R","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~","","","","","","","",""
"","","RO2","R","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~","","","","","","","",""
"","","RV1","1k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA9-H2,5_Horizontal","~","","","","","","","",""
"","","RV2","-","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3005_Horizontal","~","","","","","","","",""
"","","SW1","SW_Push_DPDT","Switch:SW_Push_DPDT","Button_Switch_THT:SW_Push_2P2T_Toggle_CK_PVA2xxH1xxxxxxV2","~","","","","","","","",""
"","","U1","EL817","Isolator:EL817","Package_DIP:DIP-4_W7.62mm","http://www.everlight.com/file/ProductFile/EL817.pdf","","","","","","","",""
